source_dataset,flow_type,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
interactions.csv,http://www.srlmetroquadro.com/,4.9039998054504395,0,50,0,0,0,0,0.09807999610900879,-1.0,0,-1,Low
interactions.csv,https://doc-00-74-apps-viewer.googleusercontent.com/,4.895999908447266,0,50,0,0,0,0,0.09791999816894531,-1.0,0,-1,Low
interactions.csv,https://mail.google.com/,1.7330000400543213,8,50,0,0,0,0,0.03466000080108642,-1.0,0,-1,Low
interactions.csv,https://docs.google.com/,1.0979998111724854,24,50,0,3,0,0,0.021959996223449706,-1.0,0,-1,Medium
interactions.csv,https://deltabit.co/,3.2039999961853027,0,50,2,0,0,0,0.06407999992370605,-1.0,0,-1,Low
interactions.csv,https://lichess.org/,1.6100001335144043,0,50,0,0,0,0,0.03220000267028809,-1.0,0,-1,Low
interactions.csv,https://www.overleaf.com/,1.5239999294281006,0,50,0,0,0,0,0.030479998588562013,-1.0,0,-1,Low
interactions.csv,https://docs.google.com/,2.2690000534057617,2,50,0,0,0,0,0.04538000106811523,-1.0,0,-1,Low
interactions.csv,https://deltabit.co/,4.178999900817871,0,50,8,0,0,0,0.08357999801635742,-1.0,0,-1,Low
interactions.csv,https://deltabit.co/,4.963000059127808,0,50,0,0,0,0,0.09926000118255615,-1.0,0,-1,Low
e-shop clothing 2008.csv,category_4_page_3,13.0,13,-1,-1,2,0,0,-1.0,-1.0,0,-1,Medium
interactions.csv,https://mail.google.com/,4.700000047683716,41,50,0,7,0,0,0.09400000095367432,-1.0,0,-1,Medium
interactions.csv,https://docs.google.com/,4.015999794006348,0,50,0,0,0,0,0.08031999588012695,-1.0,0,-1,Low
interaction_telemetry_large.csv,element_16,212.8762893,1,0,0,0,1,1,0.3511340115333333,0.0,0,-1,High
interactions.csv,https://www.paypal.com/,1.7789998054504395,2,50,0,0,0,0,0.03557999610900879,-1.0,0,-1,Low
interactions.csv,https://deltabit.co/,1.929999828338623,0,50,0,0,0,0,0.03859999656677246,-1.0,0,-1,Low
e-shop clothing 2008.csv,category_4_page_1,17.0,17,-1,-1,0,0,0,-1.0,-1.0,0,-1,Medium
interactions.csv,https://www.overleaf.com/,1.6340000629425049,50,50,0,9,0,0,0.032680001258850094,-1.0,0,-1,Medium
interaction_telemetry_large.csv,element_15,66.43763205,0,3,0,0,2,0,0.25424740675,0.0,0,-1,High
interactions.csv,https://didatticaonline.unitn.it/,3.747999906539917,2,50,0,0,0,0,0.07495999813079834,-1.0,0,-1,Low
interaction_telemetry_large.csv,element_29,186.3247569,1,1,0,0,2,2,0.0,0.0,0,-1,High
interactions.csv,https://laconfraternitadellapizza.forumfree.it/,0.7329998016357422,0,50,0,0,0,0,0.014659996032714845,-1.0,0,-1,Low
interactions.csv,https://elearning.unisi.it/,4.893999814987183,50,50,0,9,0,0,0.09787999629974366,-1.0,0,-1,Medium
interactions.csv,https://smallpdf.com/,107388.9809999466,0,50,0,0,0,0,2147.779619998932,-1.0,0,-1,Medium
interactions.csv,https://mail.google.com/,3.5,32,50,0,5,0,0,0.07,-1.0,0,-1,Medium
interactions.csv,https://www.overleaf.com/,2.499000072479248,17,50,10,2,0,0,0.04998000144958496,-1.0,0,-1,Medium
interactions.csv,https://www.facebook.com/,3.1010000705718994,27,50,0,4,0,0,0.062020001411437986,-1.0,0,-1,Medium
interactions.csv,https://deltabit.co/,1.8840000629425049,0,50,0,0,0,0,0.0376800012588501,-1.0,0,-1,Low
interactions.csv,https://www.linkedin.com/,2.5319998264312744,2,50,0,0,0,0,0.05063999652862549,-1.0,0,-1,Low
