source_dataset,flow_type,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
interactions.csv,https://mail.google.com/,2.4560000896453857,18,50,0,2,0,0,0.0491200017929077,-1.0,0,-1,Medium
interactions.csv,https://mail.google.com/,1.2860000133514404,39,50,0,6,0,0,0.0257200002670288,-1.0,0,-1,Medium
interactions.csv,https://www.jetn.it/,4.888999938964844,0,50,0,0,0,0,0.0977799987792968,-1.0,0,-1,Low
interactions.csv,https://www.facebook.com/,4.697000026702881,29,50,0,4,0,0,0.0939400005340576,-1.0,0,-1,Medium
interactions.csv,https://ricette.giallozafferano.it/,3.697999954223633,0,50,0,0,0,0,0.0739599990844726,-1.0,0,-1,Low
interactions.csv,https://www.paypal.com/,4.900000095367432,0,50,0,0,0,0,0.0980000019073486,-1.0,0,-1,Low
playwright_dummy_website,signup,1079.0,1,0,2,0,0,0,907.0,1.0,2,2,Low
e-shop clothing 2008.csv,category_2_page_2,23.0,23,-1,-1,2,0,0,-1.0,-1.0,0,-1,Medium
e-shop clothing 2008.csv,category_3_page_2,87.0,87,-1,-1,40,0,0,-1.0,-1.0,0,-1,Medium
interaction_telemetry_large.csv,element_24,30.82189527,0,1,0,0,1,0,0.3472022281999999,0.0,0,-1,High
interactions.csv,https://mail.google.com/,3.179999828338623,0,50,21,0,0,0,0.0635999965667724,-1.0,0,-1,Low
interactions.csv,https://deltabit.co/,2.482999801635742,2,50,0,0,0,0,0.0496599960327148,-1.0,0,-1,Low
interactions.csv,https://www.reverso.net/,2279.6399998664856,0,50,0,0,0,0,45.59279999732971,-1.0,0,-1,Medium
interactions.csv,https://mail.google.com/,1.0959999561309814,2,50,0,0,0,0,0.0219199991226196,-1.0,0,-1,Low
interactions.csv,https://www.overleaf.com/,4.726999998092651,0,50,2,0,0,0,0.094539999961853,-1.0,0,-1,Low
interactions.csv,https://www.amazon.it/,1.3420000076293943,0,50,0,0,0,0,0.0268400001525878,-1.0,0,-1,Low
interactions.csv,https://ricette.giallozafferano.it/,1.0839998722076416,0,50,0,0,0,0,0.0216799974441528,-1.0,0,-1,Low
e-shop clothing 2008.csv,category_2_page_2,17.0,17,-1,-1,3,0,0,-1.0,-1.0,0,-1,Medium
interactions.csv,https://docs.google.com/,2.070000171661377,3,50,50,0,0,0,0.0414000034332275,-1.0,0,-1,Medium
playwright_dummy_website,login,1054.0,1,0,2,0,0,0,911.0,1.0,2,2,Low
interactions.csv,https://mail.google.com/,1.7740001678466797,0,50,39,0,0,0,0.0354800033569336,-1.0,0,-1,Low
interaction_telemetry_large.csv,element_37,48.07599443,0,1,0,0,0,0,0.0,0.0,0,-1,Medium
interactions.csv,https://lichess.org/,4.823000192642212,0,50,0,0,0,0,0.0964600038528442,-1.0,0,-1,Low
interaction_telemetry_large.csv,element_1,135.1594324,4,1,0,0,5,5,0.5558877854714285,1.0,0,-1,High
interactions.csv,https://www.facebook.com/,1.2650001049041748,3,50,0,0,0,0,0.0253000020980834,-1.0,0,-1,Low
interactions.csv,https://fscgroup.ddns.net/,4.105999946594238,50,50,0,9,0,0,0.0821199989318847,-1.0,0,-1,Medium
interactions.csv,https://lichess.org/,1.3320000171661377,14,50,0,1,0,0,0.0266400003433227,-1.0,0,-1,Medium
interaction_telemetry_large.csv,element_13,74.34647077,0,0,0,0,0,0,0.4722448305999999,0.0,0,-1,Medium
interactions.csv,https://www.pizza.it/,4.898000001907349,50,50,0,9,0,0,0.0979600000381469,-1.0,0,-1,Medium
