source_dataset,flow_type,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,feedback_delay,task_completed,screenshot_count,error_message_clarity,friction_level
playwright_dummy_website,search,4354,2,0,2,2,0,1,1945,1,2,1,Medium
playwright_dummy_website,search,1102,1,0,1,0,0,0,925,1,3,2,Low
playwright_dummy_website,login,12453,3,0,4,1,1,0,1936,1,2,1,Medium
playwright_dummy_website,search,597,1,0,1,0,0,0,417,1,2,2,Low
playwright_dummy_website,cta,2988,1,0,0,1,0,1,1937,1,3,1,Medium
playwright_dummy_website,search,4337,2,0,2,2,0,1,1913,1,2,1,Medium
playwright_dummy_website,signup,2402,3,0,3,0,0,0,1943,1,2,1,Medium
playwright_dummy_website,login,1061,1,0,2,0,0,0,918,1,2,2,Low
playwright_dummy_website,signup,2444,3,0,3,0,0,0,1926,1,2,1,Medium
playwright_dummy_website,search,6159,1,1,2,2,0,1,3946,1,2,0,High
playwright_dummy_website,cta,2312,2,0,0,0,0,0,1938,1,2,1,Medium
playwright_dummy_website,signup,4470,3,1,3,0,0,0,3936,1,2,0,High
playwright_dummy_website,signup,1123,1,0,2,0,0,0,909,1,2,2,Low
playwright_dummy_website,search,1054,1,0,1,0,0,0,928,1,2,2,Low
playwright_dummy_website,login,2208,2,0,3,1,1,0,1914,1,4,1,Medium
playwright_dummy_website,search,5179,1,1,2,2,0,1,2932,1,2,0,High
playwright_dummy_website,login,12404,3,0,4,1,1,0,1954,1,2,1,Medium
playwright_dummy_website,search,1038,1,0,1,0,0,0,915,1,2,2,Low
playwright_dummy_website,search,4370,2,0,2,2,0,1,1937,1,2,1,Medium
playwright_dummy_website,search,2400,2,0,1,1,1,1,0,0,2,1,Medium
playwright_dummy_website,login,12449,3,0,4,1,1,0,1906,1,2,1,Medium
playwright_dummy_website,search,5130,1,1,2,2,0,1,2942,1,2,0,High
playwright_dummy_website,signup,2421,3,0,3,0,0,0,1917,1,2,1,Medium
playwright_dummy_website,signup,3477,4,1,4,2,1,1,2917,1,5,0,High
playwright_dummy_website,search,3416,3,1,1,2,1,1,2928,1,5,0,High
playwright_dummy_website,cta,4428,2,1,0,0,0,0,3946,1,2,0,High
playwright_dummy_website,cta,546,1,0,0,0,0,0,412,1,3,-1,Low
playwright_dummy_website,search,4399,3,1,1,2,1,1,3935,1,5,0,High
playwright_dummy_website,login,3422,3,1,3,2,1,1,2953,1,5,0,High
playwright_dummy_website,signup,4455,3,1,3,0,0,0,3936,1,2,0,High
playwright_dummy_website,search,4316,2,0,2,2,0,1,1933,1,2,1,Medium
playwright_dummy_website,login,1070,1,0,2,0,0,0,931,1,2,2,Low
playwright_dummy_website,signup,4532,3,1,3,0,0,0,3964,1,2,0,High
playwright_dummy_website,cta,2274,2,0,0,0,0,0,1905,1,2,1,Medium
playwright_dummy_website,cta,565,1,0,0,0,0,0,433,1,2,-1,Low
playwright_dummy_website,signup,4491,3,1,3,0,0,0,3948,1,2,0,High
playwright_dummy_website,search,611,1,0,1,0,0,0,412,1,3,2,Low
playwright_dummy_website,search,6091,1,1,2,2,0,1,3922,1,2,0,High
playwright_dummy_website,signup,4526,3,1,3,0,0,0,3976,1,2,0,High
playwright_dummy_website,signup,2402,3,0,3,0,0,0,1947,1,2,1,Medium
playwright_dummy_website,login,4150,1,1,3,0,2,0,3944,0,2,0,High
